parameter_name,parameter_value,data_type,description,category,is_sensitive
daily_work_hours,7.5,float,每日標準工作時數(時),basic,N
task_interruption_allowed,N,string,是否允許任務中斷,workstation,N
repack_additional_time,10,integer,再包裝額外時間(秒),workstation,Y
skill_impact_multiplier,0.2,float,技能等級影響係數,workstation,Y
min_task_duration,15,integer,最小任務執行時間(秒),workstation,Y
max_task_duration,300,integer,最大任務執行時間(秒),workstation,Y
urgent_transcd_list,"3,6,8,A",string,緊急交易代碼清單,priority,N
normal_transcd_list,"1,2,4,5,7,9,C,D,E,F",string,一般交易代碼清單,priority,N
sub_warehouse_routes,"SDTC,SDHN",string,副倉路線清單,priority,N
receiving_normal_priority,P4,string,進貨一般優先權,priority,N
receiving_urgent_priority,P1,string,進貨緊急優先權,priority,N
planned_staff_2f,8,integer,2樓計劃人員數,staffing,Y
planned_staff_3f,8,integer,3樓計劃人員數,staffing,Y
planned_staff_4f,8,integer,4樓計劃人員數,staffing,Y
staff_shortage_probability,0.03,float,人員短缺發生機率,staffing,Y
staff_shortage_reduction_min,1,integer,人員短缺最小減少數,staffing,Y
staff_shortage_reduction_max,3,integer,人員短缺最大減少數,staffing,Y
shift_8h_ratio,1,float,8小時班比例,staffing,N
shift_4h_ratio,0,float,4小時班比例,staffing,N
morning_shift_start,08:50:00,string,早班開始時間,staffing,N
afternoon_shift_start,14:00:00,string,下午班開始時間,staffing,N
wave_batch_size,200,integer,波次批次大小,wave,Y
wave_completion_buffer_time,300,integer,波次完成緩衝時間(秒),wave,Y
same_route_grouping,Y,string,同路線歸併,wave,N
cross_route_allowed,N,string,是否允許跨路線,wave,N
wave_priority_separation,Y,string,是否按優先權分離波次,wave,N
max_wave_duration_minutes,120,integer,最大波次執行時間(分鐘),wave,Y
wave_start_delay_seconds,180,integer,波次啟動延遲時間(秒),wave,N
exception_probability_shipping,0.02,float,出貨異常發生機率,exception,Y
exception_probability_receiving,0.015,float,進貨異常發生機率,exception,Y
exception_handling_time_avg,900,integer,異常處理平均時間(秒),exception,Y
exception_handling_time_std,300,integer,異常處理時間標準差(秒),exception,Y
leader_count,2,integer,現場主管人數,staffing,N
exception_station_priority,HIGH,string,異常處理工作站優先權,exception,N
exception_buffer_time,600,integer,異常處理緩衝時間(秒),exception,Y
exception_recovery_time,180,integer,異常恢復時間(秒),exception,Y
simulation_time_step_minutes,1,integer,模擬時間步長(分鐘),simulation,N
simulation_start_time,08:00:00,string,模擬開始時間,simulation,N
simulation_end_time,18:00:00,string,模擬結束時間,simulation,N
simulation_warmup_time,3600,integer,模擬暖機時間(秒),simulation,N
random_seed,12345,integer,隨機種子,simulation,N
debug_mode,N,string,除錯模式,simulation,N
standard_work_hours,7.5,float,標準工作時數,workload,N
overtime_threshold_hours,7.5,float,加班觸發時數,workload,Y
max_overtime_hours,2,float,最大加班時數,workload,Y
efficiency_factor,0.85,float,作業效率係數,workload,Y
peak_hour_multiplier,1.2,float,尖峰時段係數,workload,Y
workload_smoothing_enabled,Y,string,是否啟用工作量平滑,workload,N
state_update_frequency_seconds,60,integer,狀態更新頻率(秒),system,N
progress_calculation_precision,0.1,float,進度計算精度,system,N
logging_level,INFO,string,日誌等級,system,N
performance_monitoring,Y,string,是否啟用性能監控,system,N
memory_cleanup_interval,3600,integer,記憶體清理間隔(秒),system,N
backup_interval_hours,24,integer,備份間隔(小時),system,N
validation_strict_mode,N,string,嚴格驗證模式,validation,N
data_quality_threshold,0.95,float,資料品質閾值,validation,Y
missing_data_tolerance,0.05,float,缺失資料容忍度,validation,Y
outlier_detection_enabled,Y,string,是否啟用異常值檢測,validation,N
sensitivity_analysis_enabled,Y,string,是否啟用敏感性分析,analysis,N
confidence_level,0.95,float,信心水準,analysis,N
monte_carlo_iterations,1000,integer,蒙地卡羅迭代次數,analysis,Y
what_if_scenarios_enabled,Y,string,是否啟用What-if分析,analysis,N
bottleneck_detection_enabled,Y,string,是否啟用瓶頸檢測,analysis,N
kpi_calculation_interval,300,integer,KPI計算間隔(秒),reporting,N
dashboard_refresh_rate,30,integer,儀表板刷新頻率(秒),reporting,N
report_export_format,CSV,string,報告匯出格式,reporting,N
historical_data_retention_days,365,integer,歷史資料保留天數,reporting,N
alert_threshold_utilization,0.9,float,利用率警告閾值,reporting,Y
email_notifications_enabled,N,string,是否啟用郵件通知,reporting,N
picking_base_time_repack,15,integer,再包裝零件揀取基礎時間(秒),basic,N
picking_base_time_no_repack,18,integer,非再包裝零件揀取基礎時間(秒),basic,N
repack_additional_time,7,integer,再包裝額外時間(秒),workstation,Y
wave_preparation_minutes,3,integer,波次準備時間(分鐘),wave,N
early_start_buffer_minutes,5,integer,提前啟動緩衝時間(分鐘),wave,Y
late_arrival_tolerance_minutes,1,integer,遲到容忍時間(分鐘),wave,Y
auto_create_next_day_waves,Y,string,是否自動創建次日波次,wave,N
min_wave_duration_minutes,30,integer,最小波次持續時間(分鐘),wave,Y
allow_task_interruption,Y,string,是否允許異常處理時中斷任務,exception,N
escalation_time_threshold,30,integer,異常升級時間閾值(分鐘),exception,Y
critical_exception_immediate_escalation,Y,string,關鍵異常是否立即升級,exception,N
receiving_completion_days,3,integer,進貨完成期限（天數）,workstation,Y
shift_start_time,08:50:00,string,班次開始時間,workstation,Y
